song,artist
Why'd You Only Call Me When You're High?,Arctic Monkeys
There Is a Light That Never Goes Out,The Smiths
How Soon Is Now?,The Smiths
This Charming Man,The Smiths
Bigmouth Strikes Again,The Smiths
Love Will Tear Us Apart,Joy Division
Atmosphere,Joy Division
Disorder,Joy Division
Friday I'm in Love,The Cure
Just Like Heaven,The Cure
Lovesong,The Cure
Boys Don't Cry,The Cure
With or Without You,U2
I Still Haven't Found What I'm Looking For,U2
One,U2
Beautiful Day,U2
Where the Streets Have No Name,U2
1999,Prince & The Revolution
Kiss,Prince & The Revolution
Little Red Corvette,Prince & The Revolution
Billie Jean,Michael Jackson
Beat It,Michael Jackson
Thriller,Michael Jackson
Man in the Mirror,Michael Jackson
Smooth Criminal,Michael Jackson
Bad,Michael Jackson
The Way You Make Me Feel,Michael Jackson
I Will Always Love You,Whitney Houston
Like a Virgin,Madonna
Material Girl,Madonna
Vogue,Madonna
Like a Prayer,Madonna
Into the Groove,Madonna
Papa Don't Preach,Madonna
...Baby One More Time,Britney Spears
Toxic,Britney Spears
Oops!... I Did It Again,Britney Spears
Stronger,Britney Spears
Crazy in Love,Beyoncé
Single Ladies (Put a Ring on It),Beyoncé
Halo,Beyoncé
Irreplaceable,Beyoncé
If I Were a Boy,Beyoncé
Rolling in the Deep,Adele
Someone Like You,Adele
Hello,Adele
Set Fire to the Rain,Adele
Skyfall,Adele
Chasing Pavements,Adele
Rehab,Amy Winehouse
Back to Black,Amy Winehouse
Valerie,Amy Winehouse
Tears Dry on Their Own,Amy Winehouse
You Know I'm No Good,Amy Winehouse
Royals,Lorde
Team,Lorde
Yellow Flicker Beat,Lorde
Tennis Court,Lorde
Video Games,Lana Del Rey
Born to Die,Lana Del Rey
Summertime Sadness,Lana Del Rey
Young and Beautiful,Lana Del Rey
Dog Days Are Over,Florence + The Machine
Shake It Out,Florence + The Machine
Spectrum,Florence + The Machine
Hunger,Florence + The Machine
Chandelier,Sia
Cheap Thrills,Sia
Elastic Heart,Sia
Titanium,Sia
Alright,Kendrick Lamar
HUMBLE.,Kendrick Lamar
DNA.,Kendrick Lamar
Swimming Pools (Drank),Kendrick Lamar
King Kunta,Kendrick Lamar
Lose Yourself,Eminem
Stan,Eminem
The Real Slim Shady,Eminem
Without Me,Eminem
Love the Way You Lie,Eminem
Hotline Bling,Drake
God's Plan,Drake
"Hold On, We're Going Home",Drake
One Dance,Drake
Gold Digger,Kanye West
Stronger,Kanye West
Heartless,Kanye West
Power,Kanye West
Flashing Lights,Kanye West
Hey Ya!,OutKast
Ms. Jackson,OutKast
Roses,OutKast
"So Fresh, So Clean",OutKast
Doo Wop (That Thing),Lauryn Hill
Ex-Factor,Lauryn Hill
Everything Is Everything,Lauryn Hill
Blinding Lights,The Weeknd
Can't Feel My Face,The Weeknd
Starboy,The Weeknd
The Hills,The Weeknd
Still D.R.E.,Dr. Dre
The Next Episode,Dr. Dre
Drop It Like It's Hot,Snoop Dogg
Gin and Juice,Snoop Dogg
"Thank U, Next",Ariana Grande
7 rings,Ariana Grande
No Tears Left to Cry,Ariana Grande
Love Story,Taylor Swift
Blank Space,Taylor Swift
Shake It Off,Taylor Swift
You Belong with Me,Taylor Swift
Cardigan,Taylor Swift
Anti-Hero,Taylor Swift
All Too Well,Taylor Swift
Shape of You,Ed Sheeran
Thinking Out Loud,Ed Sheeran
Perfect,Ed Sheeran
Photograph,Ed Sheeran
Castle on the Hill,Ed Sheeran
Stay With Me,Sam Smith
I'm Not the Only One,Sam Smith
Lay Me Down,Sam Smith
Imagine,John Lennon
Instant Karma!,John Lennon
Jealous Guy,John Lennon
Watching the Wheels,John Lennon
You Can Call Me Al,Paul Simon
Graceland,Paul Simon
Me and Julio Down by the Schoolyard,Paul Simon
American Pie,Don McLean
Vincent (Starry Starry Night),Don McLean
Heart of Gold,Neil Young
Old Man,Neil Young
Harvest Moon,Neil Young
Brown Eyed Girl,Van Morrison
Moondance,Van Morrison
Into the Mystic,Van Morrison
Free Fallin',Tom Petty
American Girl,Tom Petty
I Won't Back Down,Tom Petty
Zombie,The Cranberries
Linger,The Cranberries
Dreams,The Cranberries
Bring Me to Life,Evanescence
My Immortal,Evanescence
Chicago,Sufjan Stevens
Mystery of Love,Sufjan Stevens
Livin' on a Prayer,Bon Jovi
You Give Love a Bad Name,Bon Jovi
Wanted Dead or Alive,Bon Jovi
Bed of Roses,Bon Jovi
Africa,Toto
Rosanna,Toto
This Love,Maroon 5
She Will Be Loved,Maroon 5
Moves Like Jagger,Maroon 5
Take Me to Church,Hozier
Cherry Wine,Hozier
Somebody That I Used to Know,Gotye
Every Breath You Take,The Police
Roxanne,The Police
Message in a Bottle,The Police
Waterfalls,TLC
No Scrubs,TLC
Say My Name,Destiny's Child
Survivor,Destiny's Child
Bootylicious,Destiny's Child
My Heart Will Go On,Celine Dion
The Power of Love,Celine Dion
Smooth Operator,Sade
No Ordinary Love,Sade
A Change Is Gonna Come,Sam Cooke
Wonderful World,Sam Cooke
Lean on Me,Bill Withers
Ain't No Sunshine,Bill Withers
(Sittin' On) The Dock of the Bay,Otis Redding
Crazy,Patsy Cline
I Fall to Pieces,Patsy Cline
Jolene,Dolly Parton
I Will Always Love You,Dolly Parton
Ring of Fire,Johnny Cash
Folsom Prison Blues,Johnny Cash
I Walk the Line,Johnny Cash
Hurt,Johnny Cash
Hit the Road Jack,Ray Charles
Georgia on My Mind,Ray Charles
I Got a Woman,Ray Charles
Fly Me to the Moon,Frank Sinatra
My Way,Frank Sinatra
"New York, New York",Frank Sinatra
I've Got You Under My Skin,Frank Sinatra
Unforgettable,Nat King Cole
Mona Lisa,Nat King Cole
L-O-V-E,Nat King Cole
Dream a Little Dream of Me,Ella Fitzgerald
Someone to Watch Over Me,Ella Fitzgerald
It Don't Mean a Thing (If It Ain't Got That Swing),Duke Ellington
I Will Survive,Gloria Gaynor
Dancing Queen,ABBA
Mamma Mia,ABBA
Fernando,ABBA
Take a Chance on Me,ABBA
I Want You Back,The Jackson 5
ABC,The Jackson 5
I'll Be There,The Jackson 5
Stuck in the Middle with You,Stealers Wheel
The Weight,The Band
Up on Cripple Creek,The Band
Fortunate Son,Creedence Clearwater Revival
Bad Moon Rising,Creedence Clearwater Revival
Have You Ever Seen the Rain,Creedence Clearwater Revival
Down on the Corner,Creedence Clearwater Revival
Good Vibrations,The Beach Boys
God Only Knows,The Beach Boys
Wouldn't It Be Nice,The Beach Boys
Surfin' U.S.A.,The Beach Boys
I'm a Believer,The Monkees
Daydream Believer,The Monkees
Rock the Casbah,The Clash
London Calling,The Clash
Should I Stay or Should I Go,The Clash
Blitzkrieg Bop,Ramones
I Wanna Be Sedated,Ramones
Sabotage,Beastie Boys
Intergalactic,Beastie Boys
Fight the Power,Public Enemy
Everybody Wants to Rule the World,Tears for Fears
Shout,Tears for Fears
Sweet Dreams (Are Made of This),Eurythmics
Here Comes the Rain Again,Eurythmics
Solsbury Hill,Peter Gabriel
In Your Eyes,Peter Gabriel
Sledgehammer,Peter Gabriel
Alison,Elvis Costello
Watching the Detectives,Elvis Costello
Into My Arms,Nick Cave
Red Right Hand,Nick Cave
Pale Blue Eyes,The Velvet Underground
Sweet Jane,The Velvet Underground
Light My Fire,The Doors
Riders on the Storm,The Doors
People Are Strange,The Doors
Hallelujah,Jeff Buckley
Grace,Jeff Buckley
Last Goodbye,Jeff Buckley
Ironic,Alanis Morissette
You Oughta Know,Alanis Morissette
Hand in My Pocket,Alanis Morissette
Thank U,Alanis Morissette
Diamonds,Rihanna
Umbrella,Rihanna
Only Girl (In the World),Rihanna
Firework,Katy Perry
Roar,Katy Perry
Teenage Dream,Katy Perry
Hips Don't Lie,Shakira
"Whenever, Wherever",Shakira
Super Bass,Nicki Minaj
Starships,Nicki Minaj
Wrecking Ball,Miley Cyrus
Flowers,Miley Cyrus
The Climb,Miley Cyrus
Drivers License,Olivia Rodrigo
Good 4 U,Olivia Rodrigo
Deja Vu,Olivia Rodrigo
Bad Guy,Billie Eilish
Everything I Wanted,Billie Eilish
Ocean Eyes,Billie Eilish
Get Lucky,Daft Punk
One More Time,Daft Punk
"Harder, Better, Faster, Stronger",Daft Punk
People Get Ready,Curtis Mayfield
Move On Up,Curtis Mayfield
Ho Hey,The Lumineers
Ophelia,The Lumineers
I Will Wait,Mumford & Sons
Little Lion Man,Mumford & Sons
I and Love and You,The Avett Brothers
Wake Up,Arcade Fire
Reflektor,Arcade Fire
Rebellion (Lies),Arcade Fire
A-Punk,Vampire Weekend
Oxford Comma,Vampire Weekend
Skinny Love,Bon Iver
Holocene,Bon Iver
Bloodbuzz Ohio,The National
I Need My Girl,The National
Angels,The xx
A Horse with No Name,America
Ventura Highway,America
Cecilia,Simon & Garfunkel
Baby I Love Your Way,Peter Frampton
Show Me the Way,Peter Frampton
Maggie May,Rod Stewart
Forever Young,Rod Stewart
Killing Me Softly with His Song,Roberta Flack
The First Time Ever I Saw Your Face,Roberta Flack
Blue Bayou,Roy Orbison
"Oh, Pretty Woman",Roy Orbison
Only the Lonely,Roy Orbison
Crying,Roy Orbison
Proud Mary,Creedence Clearwater Revival
Runaway,Del Shannon
Be My Baby,The Ronettes
Will You Love Me Tomorrow,The Shirelles
Leader of the Pack,The Shangri-Las
Stand By Me,Ben E. King
Dock of the Bay,Otis Redding
Try a Little Tenderness,Otis Redding
Walk on By,Dionne Warwick
I Say a Little Prayer,Dionne Warwick
Son of a Preacher Man,Dusty Springfield
You Don't Own Me,Lesley Gore
The Twist,Chubby Checker
Sweet Home Alabama,Lynyrd Skynyrd
Free Bird,Lynyrd Skynyrd
Simple Man,Lynyrd Skynyrd
Ramblin' Man,The Allman Brothers Band
Melissa,The Allman Brothers Band
Midnight Rider,The Allman Brothers Band
Turn! Turn! Turn!,The Byrds
"No Woman, No Cry",Bob Marley & The Wailers
One Love,Bob Marley & The Wailers
Three Little Birds,Bob Marley & The Wailers
Redemption Song,Bob Marley & The Wailers
Brown Sugar,The Rolling Stones
Helter Skelter,The Beatles
Lady Madonna,The Beatles
"Ob-La-Di, Ob-La-Da",The Beatles
Golden Slumbers,The Beatles
Get Back,The Beatles
Don't Be Cruel,Elvis Presley
Return to Sender,Elvis Presley
It's Now or Never,Elvis Presley
Subterranean Homesick Blues,Bob Dylan
Positively 4th Street,Bob Dylan
New York State of Mind,Billy Joel
She's Always a Woman,Billy Joel
Honky Cat,Elton John
Saturday Night's Alright for Fighting,Elton John
Cover Me,Bruce Springsteen
Hungry Heart,Bruce Springsteen
I'm on Fire,Bruce Springsteen
When We Were Young,Adele
Bad Blood,Taylor Swift
Delicate,Taylor Swift
The A Team,Ed Sheeran
Galway Girl,Ed Sheeran
Problem,Ariana Grande
Break Free,Ariana Grande
Positions,Ariana Grande
Poetic Justice,Kendrick Lamar
Money Trees,Kendrick Lamar
"Bitch, Don't Kill My Vibe",Kendrick Lamar
Nice for What,Drake
Started From the Bottom,Drake
Take Care,Drake
Twistin' the Night Away,Sam Cooke
I Got You (I Feel Good),James Brown
Papa's Got a Brand New Bag,James Brown
Walk the Line,Johnny Cash
Lovely Day,Bill Withers
Let’s Get It On,Marvin Gaye
Ain’t Too Proud to Beg,The Temptations
Tracks of My Tears,Smokey Robinson
War,Edwin Starr
September,"Earth, Wind & Fire"
Shining Star,"Earth, Wind & Fire"
American Woman,The Guess Who
Carry On Wayward Son,Kansas
Eye of the Tiger,Survivor
Running Up That Hill,Kate Bush
Don’t You Want Me,The Human League
Take My Breath Away,Berlin
Footloose,Kenny Loggins
Rebel Yell,Billy Idol
White Wedding,Billy Idol
Burning Down the House,Talking Heads
Once in a Lifetime,Talking Heads
The Boys of Summer,Don Henley
Crazy for You,Madonna
Holiday,Madonna
Nothing Else Matters,Metallica
Enter Sandman,Metallica
Black or White,Michael Jackson
Closing Time,Semisonic
You Get What You Give,New Radicals
One Week,Barenaked Ladies
MMMBop,Hanson
Genie in a Bottle,Christina Aguilera
Tearin' Up My Heart,NSYNC
Truly Madly Deeply,Savage Garden
My Own Worst Enemy,Lit
All Star,Smash Mouth
Cry Me a River,Justin Timberlake
SexyBack,Justin Timberlake
Beautiful,Christina Aguilera
Fighter,Christina Aguilera
Ocean Avenue,Yellowcard
Dirty Little Secret,The All-American Rejects
Move Along,The All-American Rejects
"Sugar, We're Goin Down",Fall Out Boy
"Dance, Dance",Fall Out Boy
I Write Sins Not Tragedies,Panic! at the Disco
The Middle,Jimmy Eat World
Chasing Cars,Snow Patrol
So What,P!nk
Sober,P!nk
Teenagers,My Chemical Romance
Helena,My Chemical Romance
Stay,Rihanna
Work,Rihanna
XO,Beyoncé
Formation,Beyoncé
Stressed Out,Twenty One Pilots
Ride,Twenty One Pilots
Heathens,Twenty One Pilots
Sunflower,Post Malone
Circles,Post Malone
Rockstar,Post Malone
Shallow,Lady Gaga
Always Remember Us This Way,Lady Gaga
Born This Way,Lady Gaga
Stupid Love,Lady Gaga
Peaches,Justin Bieber
Ghost,Justin Bieber
Heat Waves,Glass Animals
A Sky Full of Stars,Coldplay
Adventure of a Lifetime,Coldplay
All of me,21 Savage
Gloria,Kendrick Lamar
Remember the Time,Michael Jackson
American Boy,Estelle
Jocelyn Flores,XXXtentacion
Girlfriend,Avril Lavigne
Thank you for the Venom,My Chemical Romance
Happy,Pharrell Williams
Walking on Sunshine,Katrina and the Waves
Props and Mayhem,Pierce the Veil
The Only Exception,Paramore
My Cherie Amor,Stevie Wonder
Lucid Dreams,Juice Wrld
Lonely,Akon
When I was your man,Bruno Mars
Nobody,Mitski
Torn,Neck Deep
Burn,Usher
Antidote,Travis Scott
All of the Lights,Kanye West
After Party,Don Toliver
Dior,Pop Smoke
A Milli,Lil wayne
Under the Boardwalk,The Drifters
Stay Flo,Solange
Weak,SWV
bad guy,Billie Eilish
Levitating,Dua Lipa
drivers license,Olivia Rodrigo
"thank u, next",Ariana Grande
Lose You To Love Me,Selena Gomez
Sorry,Justin Bieber
Without Me,Halsey
Sugar,Maroon 5
In My Blood,Shawn Mendes
When I Was Your Man,Bruno Mars
God’s Plan,Drake
No Role Modelz,J. Cole
POWER,Kanye West
SICKO MODE,Travis Scott
Mask Off,Future
Savage,Megan Thee Stallion
Old Town Road,Lil Nas X
Bodak Yellow,Cardi B
a lot,21 Savage
6 Foot 7 Foot,Lil Wayne
This Is America,Childish Gambino
EARFQUAKE,"Tyler, The Creator"
Say So,Doja Cat
Truth Hurts,Lizzo
Praise the Lord,A$AP Rocky
Demons,Imagine Dragons
Livin' On a Prayer,Bon Jovi
Misery Business,Paramore
Don't Stop Believin',Journey
Island in the Sun,Weezer
Thinkin' Bout You,Frank Ocean
No One,Alicia Keys
Good Days,SZA
Adorn,Miguel
All of Me,John Legend
Heartbreak Anniversary,Giveon
Be Without You,Mary J. Blige
Location,Khalid
Focus,H.E.R.
Best Part,Daniel Caesar
No Guidance,Chris Brown
Somebody Else,The 1975
Motion Sickness,Phoebe Bridgers
The Less I Know the Better,Tame Impala
Kids,MGMT
505,Arctic Monkeys
Cigarette Daydreams,Cage the Elephant
I Will Follow You Into the Dark,Death Cab For Cutie
Harmony Hall,Vampire Weekend
Breezeblocks,alt-J
You Belong With Me,Taylor Swift
Tennessee Whiskey,Chris Stapleton
Beautiful Crazy,Luke Combs
Knockin’ on Heaven’s Door,Bob Dylan
Rainbow,Kacey Musgraves
"Take Me Home, Country Roads",John Denver
Man! I Feel Like a Woman!,Shania Twain
For What It's Worth,Buffalo Springfield
White Rabbit,Jefferson Airplane
Volunteers,Jefferson Airplane
Green River,Creedence Clearwater Revival
Across the Universe,The Beatles
Desolation Row,Bob Dylan
Shelter from the Storm,Bob Dylan
Lola,The Kinks
Waterloo Sunset,The Kinks
All Right Now,Free
Sister Golden Hair,America
Dream On,Aerosmith
Sweet Emotion,Aerosmith
More Than a Feeling,Boston
Peaceful Easy Feeling,Eagles
Already Gone,Eagles
Doctor My Eyes,Jackson Browne
Running on Empty,Jackson Browne
Amie,Pure Prairie League
Sundown,Gordon Lightfoot
If You Could Read My Mind,Gordon Lightfoot
Jack & Diane,John Mellencamp
Pink Houses,John Mellencamp
Small Town,John Mellencamp
Love Shack,the B-52's
Roam,the B-52's
Don’t Dream It’s Over,Crowded House
Something So Strong,Crowded House
Brass in Pocket,Pretenders
Back on the Chain Gang,Pretenders
Don't Come Around Here No More,Tom Petty
Refugee,Tom Petty
The Waiting,Tom Petty
Jamie's Cryin',Van Halen
Panama,Van Halen
Sharp Dressed Man,ZZ Top
Cheap Sunglasses,ZZ Top
Alive and Kicking,Simple Minds
Biko,Peter Gabriel
The Cutter,Echo & the Bunnymen
Bring On the Dancing Horses,Echo & the Bunnymen
Pictures of You,The Cure
Head Over Heels,Tears for Fears
Pride,U2
Desire,U2
Runaway Train,Soul Asylum
Misery,Soul Asylum
I Alone,Live
Lightning Crashes,Live
Selling the Drama,Live
Doll Parts,Hole
Celebrity Skin,Hole
Interstate Love Song,Stone Temple Pilots
Big Empty,Stone Temple Pilots
Today,Smashing Pumpkins
If It Makes You Happy,Sheryl Crow
Strong Enough,Sheryl Crow
A Long December,Counting Crows
Round Here,Counting Crows
Mr. Jones,Counting Crows
Barely Breathing,Duncan Sheik
Torn,Natalie Imbruglia
Criminal,Fiona Apple
Shadowboxer,Fiona Apple
Return of the Mack,Mark Morrison
Praise You,Fatboy Slim
Bitter Sweet Symphony,The Verve
Lucky Man,The Verve
Iris,Goo Goo Dolls
Slide,Goo Goo Dolls
Inside Out,Eve 6
Fast Car,Tracy Chapman
Heartbeats,José González
Such Great Heights,The Postal Service
The District Sleeps Alone Tonight,The Postal Service
We Will Become Silhouettes,The Postal Service
Crown of Love,Arcade Fire
Take Me Out,Franz Ferdinand
Do You Want To,Franz Ferdinand
Float On,Modest Mouse
Dashboard,Modest Mouse
Missed the Boat,Modest Mouse
First Day of My Life,Bright Eyes
Lua,Bright Eyes
Sweetness,Jimmy Eat World
23,Jimmy Eat World
Soul Meets Body,Death Cab for Cutie
Cath...,Death Cab for Cutie
Hanging by a Moment,Lifehouse
Breathing,Lifehouse
You and Me,Lifehouse
Only One,Yellowcard
Drive,Incubus
Wish You Were Here,Incubus
Echo,Incubus
Spaceman,The Killers
Holiday,Green Day
Minority,Green Day
Bloodbank,Bon Iver
Mountain Sound,Of Monsters and Men
Dirty Paws,Of Monsters and Men
Little Talks,Of Monsters and Men
Cleopatra,The Lumineers
Stubborn Love,The Lumineers
Angela,The Lumineers
My Tears Are Becoming a Sea,M83
Midnight City,M83
Reunion,M83
Waiting for the End,Linkin Park
Burning in the Skies,Linkin Park
Castle of Glass,Linkin Park
Mess Is Mine,Vance Joy
Georgia,Vance Joy
From Afar,Vance Joy
Youth,Daughter
Smother,Daughter
Doing It to Death,The Kills
Future Starts Slow,The Kills
Blue Ridge Mountains,Fleet Foxes
Helplessness Blues,Fleet Foxes
Battery Kinzie,Fleet Foxes
Shake,The Head and the Heart
Lost in My Mind,The Head and the Heart
City of Angels,The Head and the Heart
Your Love (Déjà Vu),Glass Animals
Tangerine,Glass Animals
Chaise Longue,Wet Leg
Wet Dream,Wet Leg
Angel,The 1975
Oh Caroline,The 1975
Part of the Band,The 1975
Softcore,The Neighbourhood
Pretty Boy,The Neighbourhood
Sweater Weather,The Neighbourhood
The Adults Are Talking,The Strokes
Brooklyn Bridge to Chorus,The Strokes
Selfless,The Strokes
Kyoto,Phoebe Bridgers
Garden Song,Phoebe Bridgers
Savior Complex,Phoebe Bridgers
I Know the End,Phoebe Bridgers
Cool About It,Boygenius
Not Strong Enough,Boygenius
True Blue,Boygenius
The Steps,HAIM
Now I’m In It,HAIM
Gasoline,HAIM
Lazy Eye,Silversun Pickups
Panic Switch,Silversun Pickups
Nightlight,ILLENIUM
Paper Thin,ILLENIUM
